iter	RMSE
198	0.1315988314
199	0.1315777822
200	0.1315529101
201	0.131529905
202	0.1315033794
203	0.1314717382
204	0.131448083
205	0.1313735261
206	0.1313304707
207	0.1312908197
208	0.1312624166
209	0.1312366825
210	0.131197843
211	0.1311633803
212	0.1311344653
213	0.1311113853
214	0.1310875419
215	0.1310607432
216	0.1310354202
217	0.1310125236
218	0.1309911037
219	0.1309391887
220	0.1309054266
221	0.1308721144
222	0.1308333336
223	0.1308031991
224	0.1307530777
225	0.130724778
226	0.1306930284
227	0.1306492148
228	0.1306205786
229	0.1305844918
230	0.1305637236
231	0.1305403916
232	0.1305147522
233	0.1304852603
234	0.1304364096
235	0.1303948462
236	0.1303473262
237	0.1303222042
238	0.130288784
239	0.1302520297
240	0.1302148836
241	0.1301901675
242	0.1301486645
243	0.1300986799
244	0.1300467136
245	0.1300203092
246	0.1299906426
247	0.1299292249
248	0.1299091363
249	0.1298634866
250	0.1298204362
251	0.1297861162
252	0.1297573435
253	0.1297308474
254	0.1296646443
255	0.1296264387
256	0.1295733173
257	0.1295401335
258	0.1295099936
259	0.1294725314
260	0.1294277496
261	0.1293898621
262	0.1293454778
263	0.1292956104
264	0.1292762814
265	0.1292321834
266	0.1291704567
267	0.1291500004
268	0.1291268554
269	0.129088799
270	0.1290586065
271	0.1290246408
272	0.1289987416
273	0.128966399
274	0.1289235023
275	0.1288954186
276	0.1288743009
277	0.1288346385
278	0.1288053437
279	0.1287861179
280	0.1287652132
281	0.128726023
282	0.1286775788
283	0.1286478852
284	0.1285774945
285	0.128524002
286	0.128492929
287	0.1284771876
288	0.128453338
289	0.128428122
290	0.1283910427
291	0.1283304589
292	0.128302725
293	0.1282787804
294	0.1282490011
295	0.1282049505
296	0.1281645828
297	0.128115847
298	0.1280751099
299	0.1280500471
300	0.1279986497
301	0.1279720799
302	0.1279392883
303	0.1278906394
304	0.1278634007
305	0.1278108535
306	0.1277861404
307	0.1277446257
308	0.127713753
309	0.1276763574
310	0.1276456242
311	0.1276082011
312	0.1275942149
313	0.1275447047
314	0.1275177072
315	0.1274879413
316	0.1274532024
317	0.1274200467
318	0.12736465
319	0.1273409114
320	0.1273159744
321	0.1273036647
322	0.1272620859
323	0.1272092854
324	0.1271803581
325	0.127125541
326	0.1271015437
327	0.1270767346
328	0.1270520753
329	0.1270215841
330	0.1269996745
331	0.1269743097
332	0.12690828
333	0.1268840079
334	0.1268645651
335	0.1268390838
336	0.126782626
337	0.1267379766
338	0.1267103838
339	0.126653822
340	0.1266317289
341	0.1266050458
342	0.1265815802
343	0.1265490798
344	0.1265150652
345	0.1264787697
346	0.1264475948
347	0.126419369
348	0.1264013503
349	0.126385857
350	0.126347409
351	0.1263108748
352	0.1262591932
353	0.1262374728
354	0.1262060299
355	0.1261719492
356	0.1261420136
357	0.1261151831
358	0.1260958513
359	0.1260641368
360	0.1260223992
361	0.1259994387
362	0.125971992
363	0.125903893
364	0.1258825544
365	0.1258603837
366	0.1258132154
367	0.1257902486
368	0.1257480468
369	0.1257229228
370	0.1256922015
371	0.1256585457
372	0.125635545
373	0.1256136599
374	0.1255568068
375	0.1255316073
376	0.1254855761
377	0.1254665973
378	0.1254436586
379	0.1254190487
380	0.1253977513
381	0.1253834044
382	0.1253495724
383	0.1253285242
384	0.1253035604
385	0.125290021
386	0.1252455315
387	0.1251970865
388	0.1251564061
389	0.1251322925
390	0.1250982764
391	0.1250757709
392	0.1250468148
393	0.1250323578
394	0.125002296
395	0.124970706
396	0.1249345938
397	0.1249182431
398	0.1248977909
399	0.1248807189
400	0.1248449194
401	0.1248186567
402	0.1248022407
403	0.1247710818
404	0.1247599341
405	0.1247289886
406	0.1247055049
407	0.1246920507
408	0.1246654769
409	0.1246385761
410	0.1246253239
411	0.1245820461
412	0.1245595096
413	0.1245235446
414	0.1244841631
415	0.124452961
416	0.1244116867
417	0.1243877195
418	0.1243458604
419	0.1243175221
420	0.1242968655
421	0.1242570925
422	0.1242326179
423	0.1242074565
424	0.1241777197
425	0.124165827
426	0.1241336871
427	0.1241041134
428	0.1240781612
429	0.124063353
430	0.1240432071
431	0.1240081994
432	0.1239694366
433	0.123955215
434	0.1239159219
435	0.1238864474
436	0.1238700944
437	0.1238320213
438	0.1237952634
439	0.1237761631
440	0.1237321257
441	0.1237164436
442	0.1236986505
443	0.1236377177
444	0.1236036647
445	0.1235737962
446	0.123557065
447	0.1235320851
448	0.1234963186
449	0.1234780652
450	0.1234563394
451	0.1234444931
452	0.1234168611
453	0.1233997023
454	0.1233650549
455	0.1233394404
456	0.1233318078
457	0.1233043188
458	0.1232786749
459	0.1232601935
460	0.1232365213
461	0.1232221375
462	0.1231928456
463	0.123174638
464	0.1231530958
465	0.123099857
466	0.123078328
467	0.1230206209
468	0.1229925721
469	0.1229753542
470	0.1229453269
471	0.1229313364
472	0.1229237286
473	0.1229067635
474	0.1228695788
475	0.1228587515
476	0.1228368149
477	0.1228178055
478	0.1227976791
479	0.1227732597
480	0.1227231869
481	0.1226991925
482	0.1226694253
483	0.1226541591
484	0.1226145794
485	0.1225922035
486	0.1225713471
487	0.122543938
488	0.1225327947
489	0.1225064667
490	0.1224943046
491	0.1224813851
492	0.1224626049
493	0.1224521752
494	0.1224258001
495	0.1224037388
496	0.1223715182
497	0.1223301007
498	0.1223196865
499	0.1223048049
500	0.1222916937
501	0.1222737609
502	0.1222533768
503	0.1222232541
504	0.1221961124
505	0.1221764501
506	0.1221492125
507	0.1221251749
508	0.1221043792
509	0.1220862494
510	0.1220466835
511	0.1220347201
512	0.1220165833
513	0.1219968402
514	0.1219768272
515	0.1219409427
516	0.1219237374
517	0.121899151
518	0.1218753232
519	0.1218480174
520	0.121831796
521	0.1218186704
522	0.1218017616
523	0.1217655229
524	0.1217341859
525	0.1217272177
526	0.121680472
527	0.1216621041
528	0.1216377963
529	0.121628064
530	0.1216040857
531	0.1215759577
532	0.1215590627
533	0.1215441673
534	0.1215129782
535	0.1214789207
536	0.1214624155
537	0.1214393935
538	0.1214130773
539	0.121358649
540	0.1213404382
541	0.121319485
542	0.1213032779
543	0.1212905627
544	0.1212685687
545	0.121242128
546	0.1212224993
547	0.1212042323
548	0.1211882705
549	0.1211572599
550	0.1211362601
551	0.1211129948
552	0.1210957578
553	0.1210790151
554	0.1210464494
555	0.1210269432
556	0.120995016
557	0.1209827955
558	0.1209536787
559	0.1209294188
560	0.1209128981
561	0.1208844861
562	0.1208622772
563	0.1208381179
564	0.1208196842
565	0.1207953141
566	0.1207746602
567	0.1207652647
568	0.1207486896
569	0.1207280033
570	0.1207123708
571	0.120682151
572	0.1206681447
573	0.1206511961
574	0.1206371566
575	0.1206208019
576	0.1205898642
577	0.1205757345
578	0.1205528846
579	0.1205358808
580	0.1205099144
581	0.1204951128
582	0.1204632707
583	0.1204355305
584	0.1204220565
585	0.1204110022
586	0.1203866188
587	0.120371803
588	0.1203486891
589	0.1203308651
590	0.1203171382
591	0.1203010541
592	0.1202805997
593	0.1202691117
594	0.1202546191
595	0.1202435598
596	0.1202299283
597	0.1202133815
598	0.1201906704
599	0.1201711616
600	0.1201279742
601	0.1201012188
602	0.1200875679
603	0.1200538062
604	0.120039902
605	0.1200240132
606	0.1200165211
607	0.1199812399
608	0.1199475367
609	0.1199335595
610	0.119929145
611	0.119904446
612	0.1198995571
613	0.1198802368
614	0.1198743071
615	0.1198537301
616	0.1198171204
617	0.1197779482
618	0.1197439249
619	0.1197309058
620	0.1197105744
621	0.1196958499
622	0.119664955
623	0.1196536173
624	0.1196367666
625	0.1196247701
626	0.1196112347
627	0.1195746507
628	0.1195682639
629	0.119545255
630	0.1195320073
631	0.1195076149
632	0.1194835341
633	0.1194651269
634	0.1194389398
635	0.1194317615
636	0.1194140602
637	0.1193974148
638	0.1193872791
639	0.1193740392
640	0.1193658062
641	0.1193484536
642	0.1193396075
643	0.1193144892
644	0.1192971975
645	0.1192841191
646	0.1192783344
647	0.1192616357
648	0.1192463097
649	0.1192313262
650	0.1192225461
651	0.1192044609
652	0.1191949902
653	0.1191792012
654	0.1191692419
655	0.119159059
656	0.1191426502
657	0.1191232199
658	0.1191117284
659	0.1190830885
660	0.1190701501
661	0.1190366121
662	0.1190090009
663	0.1189853813
664	0.1189803554
665	0.1189719019
666	0.1189492695
667	0.118936079
668	0.1189179114
669	0.1188928715
670	0.1188660065
671	0.1188598655
672	0.118836258
673	0.1188269125
674	0.1188202312
675	0.1188055176
676	0.1187805753
677	0.118762988
678	0.1187566364
679	0.1187430883
680	0.1187208285
681	0.1186996186
682	0.118685995
683	0.1186707967
684	0.1186488351
685	0.1186337507
686	0.1186211672
687	0.1186066561
688	0.1185866793
689	0.1185774118
690	0.1185498283
691	0.1185282232
692	0.1185098161
693	0.1184812716
694	0.1184623361
695	0.1184412833
696	0.118425554
697	0.1184111673
698	0.118402963
699	0.1183894753
700	0.1183711473
701	0.1183481648
702	0.1183269377
703	0.1183022132
704	0.1182914961
705	0.1182858514
706	0.1182781586
707	0.1182653013
708	0.1182551704
709	0.1182395285
710	0.1182285877
711	0.1182191486
712	0.1181995843
713	0.1181889931
714	0.1181807713
715	0.1181711119
716	0.1181587019
717	0.1181465329
718	0.1181249075
719	0.118113432
720	0.1181056857
721	0.1180852169
722	0.1180678248
723	0.1180445051
724	0.1180331862
725	0.1180225327
726	0.118005067
727	0.1179863819
728	0.1179711598
729	0.1179509186
730	0.1179349106
731	0.1179168516
732	0.1178992819
733	0.1178885499
734	0.1178767896
735	0.1178616971
736	0.117854083
737	0.1178449791
738	0.1178280511
739	0.1178110128
740	0.1177966124
741	0.1177703759
742	0.1177609648
743	0.1177367785
744	0.1177187293
745	0.117694572
746	0.1176815896
747	0.1176689416
748	0.1176476246
749	0.1176209351
750	0.1175991191
751	0.1175873586
752	0.1175746007
753	0.1175631375
754	0.1175444642
755	0.1175297546
756	0.117514298
757	0.1175055225
758	0.117491749
759	0.1174752372
760	0.1174637374
761	0.1174506747
762	0.1174327247
763	0.1174152519
764	0.1173979326
765	0.1173759879
766	0.1173577236
767	0.117347177
768	0.1173294794
769	0.1173164977
770	0.1173073059
771	0.1172977678
772	0.1172878659
773	0.1172712418
774	0.1172571497
775	0.1172422177
776	0.1172344508
777	0.1172181732
778	0.1172084966
779	0.1171918322
780	0.1171882432
781	0.1171781847
782	0.1171604482
783	0.117146729
784	0.1171354892
785	0.1171176098
786	0.1170919787
787	0.1170820638
788	0.1170647576
789	0.1170531997
790	0.1170421736
791	0.1170324496
792	0.1170138855
793	0.1170012615
794	0.1169900868
795	0.1169819262
796	0.1169578743
797	0.116947166
798	0.1169339219
799	0.1169206787
800	0.1169056685
801	0.1168901497
802	0.1168627463
803	0.1168480286
804	0.1168230621
805	0.1168095642
806	0.1167918364
807	0.1167814401
808	0.1167679354
809	0.1167531554
810	0.1167268861
811	0.1167204948
812	0.1167066297
813	0.1166964213
814	0.1166840828
815	0.1166681266
816	0.1166499262
817	0.1166290467
818	0.1165951628
819	0.1165758019
820	0.1165533582
821	0.1165437175
822	0.1165285146
823	0.1165157083
824	0.1164948028
825	0.1164826477
826	0.1164701998
827	0.1164594961
828	0.116445554
829	0.1164321655
830	0.1164214078
831	0.1164078653
832	0.1164021367
833	0.1163895181
834	0.1163737179
835	0.1163638687
836	0.1163580419
837	0.1163438911
838	0.116337144
839	0.116318788
840	0.1162995729
841	0.1162808571
842	0.1162691599
843	0.1162634508
844	0.1162532823
845	0.1162354915
846	0.1162255526
847	0.1162142568
848	0.1161972754
849	0.1161912185
850	0.1161781493
851	0.1161624262
852	0.1161493162
853	0.1161389981
854	0.1161244513
855	0.1161098937
856	0.1160977041
857	0.1160877555
858	0.1160634005
859	0.1160515699
860	0.1160381388
861	0.1160277073
862	0.1160140943
863	0.1160007011
864	0.1159907734
865	0.1159647597
866	0.1159453483
867	0.1159394288
868	0.1159188973
869	0.1159032531
870	0.1158966529
871	0.1158870075
872	0.1158739327
873	0.1158579655
874	0.1158454495
875	0.1158365146
876	0.1158248107
877	0.1158040157
878	0.1157924858
879	0.1157748589
880	0.1157611902
881	0.1157478438
882	0.1157358271
883	0.1157251886
884	0.1157098956
885	0.1156981456
886	0.1156775746
887	0.1156666756
888	0.1156554945
889	0.1156442656
890	0.1156338882
891	0.1156185343
892	0.1155976313
893	0.1155932581
894	0.1155862562
895	0.1155820332
896	0.1155721978
897	0.1155601268
898	0.115539099
899	0.1155182278
900	0.1155075831
901	0.1154932032
902	0.1154749753
903	0.115466629
904	0.1154554768
905	0.1154438666
906	0.1154319924
907	0.1154251088
908	0.1154079281
909	0.1153965713
910	0.1153816593
911	0.1153738013
912	0.1153480182
913	0.115331894
914	0.1153191503
915	0.1153049594
916	0.1152921194
917	0.1152757755
918	0.1152582938
919	0.115248776
920	0.1152295658
921	0.1152199408
922	0.1152126022
923	0.1152042724
924	0.1151995318
925	0.1151928424
926	0.1151787078
927	0.1151662882
928	0.1151597989
929	0.1151500327
930	0.1151443799
931	0.1151270813
932	0.1151083926
933	0.1150870949
934	0.11507458
935	0.115063196
936	0.1150513257
937	0.1150423575
938	0.115036623
939	0.1150213117
940	0.115010147
941	0.1149978923
942	0.1149829368
943	0.11497785
944	0.1149653389
945	0.1149511387
946	0.1149458625
947	0.1149404352
948	0.1149332915
949	0.1149167294
950	0.1149066243
951	0.114897666
952	0.1148950235
953	0.1148855972
954	0.1148728556
955	0.1148627465
956	0.1148514027
957	0.114834869
958	0.1148267685
959	0.1148165132
960	0.1148062539
961	0.1147938911
962	0.1147845144
963	0.1147677961
964	0.1147553205
965	0.114749372
966	0.1147295074
967	0.1147208078
968	0.1147138668
969	0.1147090908
970	0.1146976308
971	0.114686224
972	0.1146785396
973	0.1146680584
974	0.1146500832
975	0.1146392309
976	0.1146295141
977	0.114623287
978	0.1146191711
979	0.1146032428
980	0.1145870555
981	0.1145774864
982	0.1145664536
983	0.1145544465
984	0.1145411746
985	0.1145391217
986	0.1145319895
987	0.1145025732
988	0.1144923957
989	0.1144784888
990	0.1144644041
991	0.1144566366
992	0.114446942
993	0.1144282387
994	0.1144136512
995	0.1144071062
996	0.1143772873
997	0.1143682717
998	0.1143626474
999	0.1143491352
