iter	Passed	Remaining
429	1588	2105
430	1591	2101
431	1594	2097
432	1598	2092
433	1601	2089
434	1605	2084
435	1608	2081
436	1612	2077
437	1615	2073
438	1619	2069
439	1621	2064
440	1624	2059
441	1628	2055
442	1631	2051
443	1633	2046
444	1637	2041
445	1639	2036
446	1642	2032
447	1645	2027
448	1648	2023
449	1651	2018
450	1654	2014
451	1657	2009
452	1660	2005
453	1663	2000
454	1666	1996
455	1669	1991
456	1672	1986
457	1675	1982
458	1678	1978
459	1681	1973
460	1684	1969
461	1686	1964
462	1690	1960
463	1692	1955
464	1695	1951
465	1698	1946
466	1702	1942
467	1704	1937
468	1707	1933
469	1710	1928
470	1713	1924
471	1716	1919
472	1719	1915
473	1721	1910
474	1724	1906
475	1727	1901
476	1730	1897
477	1733	1892
478	1736	1888
479	1739	1883
480	1742	1880
481	1744	1875
482	1748	1871
483	1750	1866
484	1753	1862
485	1756	1857
486	1759	1853
487	1762	1848
488	1765	1844
489	1768	1840
490	1771	1835
491	1773	1831
492	1776	1827
493	1779	1822
494	1782	1818
495	1786	1815
496	1789	1811
497	1792	1806
498	1795	1802
499	1798	1798
500	1801	1794
501	1803	1789
502	1807	1785
503	1810	1781
504	1813	1777
505	1815	1772
506	1818	1768
507	1821	1763
508	1824	1759
509	1826	1755
510	1829	1751
511	1832	1746
512	1835	1742
513	1838	1738
514	1841	1734
515	1844	1730
516	1847	1725
517	1850	1721
518	1852	1717
519	1855	1712
520	1858	1708
521	1861	1704
522	1865	1701
523	1868	1697
524	1871	1693
525	1874	1688
526	1877	1684
527	1880	1680
528	1883	1676
529	1885	1672
530	1888	1668
531	1891	1664
532	1894	1660
533	1897	1655
534	1900	1652
535	1903	1647
536	1906	1643
537	1909	1639
538	1912	1635
539	1915	1631
540	1918	1627
541	1921	1623
542	1924	1619
543	1926	1615
544	1930	1611
545	1932	1606
546	1935	1603
547	1938	1599
548	1941	1595
549	1944	1591
550	1948	1587
551	1951	1583
552	1954	1579
553	1957	1575
554	1960	1571
555	1963	1568
556	1966	1563
557	1970	1560
558	1972	1556
559	1976	1552
560	1978	1548
561	1982	1544
562	1984	1540
563	1987	1536
564	1990	1532
565	1994	1529
566	1996	1524
567	2000	1521
568	2002	1517
569	2006	1513
570	2008	1509
571	2011	1505
572	2014	1501
573	2017	1497
574	2020	1493
575	2023	1489
576	2025	1485
577	2029	1481
578	2031	1477
579	2035	1473
580	2038	1469
581	2041	1466
582	2044	1462
583	2047	1458
584	2049	1454
585	2052	1450
586	2055	1446
587	2058	1442
588	2061	1438
589	2064	1434
590	2067	1431
591	2070	1426
592	2073	1423
593	2076	1419
594	2079	1415
595	2081	1411
596	2084	1407
597	2087	1403
598	2090	1399
599	2093	1395
600	2096	1391
601	2098	1387
602	2102	1383
603	2104	1379
604	2107	1376
605	2110	1372
606	2113	1368
607	2116	1364
608	2120	1361
609	2122	1357
610	2126	1353
611	2129	1350
612	2132	1346
613	2135	1342
614	2138	1338
615	2141	1334
616	2145	1331
617	2149	1328
618	2152	1324
619	2155	1321
620	2158	1317
621	2161	1313
622	2164	1309
623	2167	1306
624	2170	1302
625	2174	1298
626	2177	1295
627	2180	1291
628	2183	1288
629	2186	1284
630	2189	1280
631	2192	1276
632	2196	1273
633	2198	1269
634	2202	1265
635	2205	1262
636	2208	1258
637	2212	1255
638	2215	1251
639	2219	1248
640	2222	1244
641	2225	1241
642	2229	1237
643	2232	1234
644	2236	1230
645	2238	1226
646	2242	1223
647	2244	1219
648	2248	1215
649	2251	1212
650	2255	1209
651	2258	1205
652	2261	1201
653	2264	1198
654	2267	1194
655	2271	1190
656	2274	1187
657	2277	1183
658	2280	1180
659	2284	1176
660	2288	1173
661	2291	1169
662	2294	1166
663	2297	1162
664	2300	1158
665	2302	1154
666	2306	1151
667	2309	1147
668	2312	1144
669	2315	1140
670	2318	1136
671	2321	1133
672	2324	1129
673	2327	1125
674	2330	1122
675	2334	1118
676	2336	1114
677	2339	1111
678	2342	1107
679	2345	1103
680	2347	1099
681	2350	1096
682	2353	1092
683	2356	1088
684	2359	1084
685	2362	1081
686	2365	1077
687	2368	1073
688	2370	1070
689	2373	1066
690	2376	1062
691	2379	1059
692	2400	1063
693	2402	1059
694	2405	1055
695	2409	1052
696	2412	1048
697	2415	1044
698	2418	1041
699	2421	1037
700	2424	1033
701	2426	1030
702	2429	1026
703	2432	1022
704	2435	1019
705	2438	1015
706	2441	1011
707	2444	1008
708	2447	1004
709	2450	1000
710	2453	997
711	2456	993
712	2459	989
713	2462	986
714	2465	982
715	2468	978
716	2471	975
717	2473	971
718	2477	968
719	2479	964
720	2482	960
721	2485	956
722	2487	953
723	2490	949
724	2493	945
725	2496	942
726	2499	938
727	2502	934
728	2505	931
729	2508	927
730	2511	924
731	2514	920
732	2517	916
733	2520	913
734	2522	909
735	2525	905
736	2528	902
737	2531	898
738	2534	895
739	2537	891
740	2539	887
741	2543	884
742	2546	880
743	2548	877
744	2552	873
745	2554	869
746	2557	866
747	2560	862
748	2562	858
749	2566	855
