,date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc,date_date
60,28/03/2020,Incheon,51,14,34,2.0,27,3,2.0,3,5.0,2020-03-28
61,28/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0,2020-03-28
62,28/03/2020,Daejeon,31,3,18,2.0,10,6,0.0,10,0.0,2020-03-28
63,28/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0,2020-03-28
64,28/03/2020,Sejong,44,0,42,1.0,38,3,0.0,2,0.0,2020-03-28
65,28/03/2020,Gyeonggi,433,55,333,29.0,223,64,17.0,45,21.0,2020-03-28
66,28/03/2020,Gangwon,32,3,22,17.0,5,0,0.0,7,1.0,2020-03-28
67,28/03/2020,Chung- buk,41,2,27,6.0,11,10,0.0,12,0.0,2020-03-28
68,28/03/2020,Chung- nam,126,5,113,0.0,112,1,0.0,8,2.0,2020-03-28
69,28/03/2020,Jeon- buk,10,3,1,1.0,0,0,0.0,6,0.0,2020-03-28
70,28/03/2020,Jeon- nam,8,1,4,1.0,0,2,1.0,3,0.0,2020-03-28
71,28/03/2020,Gyeong- buk,1285,1,1120,555.0,390,174,1.0,164,2.0,2020-03-28
72,28/03/2020,Gyeong- nam,91,3,72,32.0,35,5,0.0,16,0.0,2020-03-28
73,28/03/2020,Jeju,8,3,0,0.0,0,0,0.0,5,1.0,2020-03-28
74,28/03/2020,Airport,168,168,0,0.0,0,0,0.0,0,24.0,2020-03-28
75,28/03/2020,Total,9478,363,7734,5089.0,1532,1056,57.0,1381,146.0,2020-03-28
76,29/03/2020,Seoul,410,92,281,7.0,207,35,32.0,37,20.0,2020-03-29
77,29/03/2020,Busan,117,5,76,11.0,49,16,0.0,36,3.0,2020-03-29
78,29/03/2020,Daegu,6610,3,5584,4400.0,450,732,2.0,1023,23.0,2020-03-29
79,29/03/2020,Incheon,58,15,36,2.0,28,4,2.0,7,7.0,2020-03-29
80,29/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0,2020-03-29
81,29/03/2020,Daejeon,34,4,20,2.0,11,7,0.0,10,3.0,2020-03-29
82,29/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0,2020-03-29
83,29/03/2020,Sejong,46,0,42,1.0,38,3,0.0,4,2.0,2020-03-29
84,29/03/2020,Gyeonggi,448,64,335,29.0,228,60,18.0,49,15.0,2020-03-29
85,29/03/2020,Gangwon,34,4,22,17.0,5,0,0.0,8,2.0,2020-03-29
