index,date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc
78,29/03/2020,Daegu,6610,3,5584,4400.0,450,732,2.0,1023,23.0
79,29/03/2020,Incheon,58,15,36,2.0,28,4,2.0,7,7.0
80,29/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0
81,29/03/2020,Daejeon,34,4,20,2.0,11,7,0.0,10,3.0
82,29/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0
83,29/03/2020,Sejong,46,0,42,1.0,38,3,0.0,4,2.0
84,29/03/2020,Gyeonggi,448,64,335,29.0,228,60,18.0,49,15.0
85,29/03/2020,Gangwon,34,4,22,17.0,5,0,0.0,8,2.0
86,29/03/2020,Chung-buk,41,2,27,6.0,11,10,0.0,12,0.0
87,29/03/2020,Chung- nam,127,7,113,0.0,112,1,0.0,7,1.0
88,29/03/2020,Jeon-buk,12,3,1,1.0,0,0,0.0,8,2.0
89,29/03/2020,Jeon-nam,9,1,4,1.0,2,2,1.0,2,1.0
90,29/03/2020,Gyeong- buk,1287,1,1121,555.0,390,175,1.0,165,2.0
91,29/03/2020,Gyeong- nam,94,5,72,32.0,35,5,0.0,17,3.0
92,29/03/2020,Jeju,8,4,0,0.0,0,0,0.0,4,0.0
93,29/03/2020,Airport,189,189,0,0.0,0,0,0.0,0,21.0
94,29/03/2020,Total,9583,412,7774,5089.0,1567,1056,62.0,1397,105.0
95,30/03/2020,Seoul,426,109,284,7.0,209,32,36.0,33,16.0
96,30/03/2020,Busan,118,8,80,12.0,50,18,0.0,30,1.0
97,30/03/2020,Daegu,6624,4,5871,4467.0,489,913,2.0,749,14.0
98,30/03/2020,Incheon,58,19,36,2.0,29,3,2.0,3,0.0
99,30/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0
100,30/03/2020,Daejeon,34,4,21,2.0,11,8,0.0,9,0.0
101,30/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0
102,30/03/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
103,30/03/2020,Gyeonggi,463,79,342,29.0,237,58,18.0,42,15.0
104,30/03/2020,Gangwon,36,5,23,17.0,5,1,0.0,8,2.0
105,30/03/2020,Chung-buk,44,3,32,6.0,11,15,0.0,9,3.0
106,30/03/2020,Chung- nam,127,7,113,0.0,112,1,0.0,7,0.0
107,30/03/2020,Jeon-buk,13,5,1,1.0,0,0,0.0,7,1.0
108,30/03/2020,Jeon-nam,9,2,6,1.0,2,2,1.0,1,0.0
109,30/03/2020,Gyeong- buk,1298,2,1162,559.0,409,193,1.0,134,11.0
110,30/03/2020,Gyeong- nam,95,6,72,32.0,35,5,0.0,17,1.0
111,30/03/2020,Jeju,9,5,0,0.0,0,0,0.0,4,1.0
112,30/03/2020,Airport,202,202,0,0.0,0,0,0.0,0,13.0
113,30/03/2020,Total,9661,476,8123,5161.0,1638,1258,66.0,1062,78.0
114,31/03/2020,Seoul,450,119,293,7.0,217,32,37.0,38,24.0
115,31/03/2020,Busan,119,8,80,12.0,50,18,0.0,31,1.0
116,31/03/2020,Daegu,6684,5,5930,4468.0,545,914,3.0,749,60.0
117,31/03/2020,Incheon,64,21,36,2.0,29,3,2.0,7,6.0
118,31/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0
119,31/03/2020,Daejeon,36,4,21,2.0,11,8,0.0,11,2.0
120,31/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0
